modelo,tau,trigger,campus,capa,betweenness,fallos_totales,fraccion,generaciones
normalizada (actual),0.0,AETUC-0A-A76,Campus Central,acceso,0.011363636363636364,59,0.3333333333333333,3
normalizada (actual),0.0,AETUC-0A-A97,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,AETUCCF-2A-A79,Campus Central,acceso,0.0,55,0.3107344632768362,2
normalizada (actual),0.0,AGRPRI-1A-A19,Campus Yanuncay,acceso,0.0,58,0.327683615819209,2
normalizada (actual),0.0,AGRPRI-1A-D10,Campus Yanuncay,agregacion,0.12142857142857143,13,0.07344632768361582,3
normalizada (actual),0.0,ANF-0A-A14,Campus Yanuncay,acceso,0.0,58,0.327683615819209,2
normalizada (actual),0.0,ARQ-0A-A84,Campus Central,acceso,0.0,55,0.3107344632768362,2
normalizada (actual),0.0,ARQ-0A-A85,Campus Central,acceso,0.011363636363636364,59,0.3333333333333333,3
normalizada (actual),0.0,ARQ-0B-A87,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ARQ-0D-A88,Campus Central,acceso,0.011363636363636364,59,0.3333333333333333,3
normalizada (actual),0.0,ARQ-0D-A89,Campus Central,acceso,0.0,55,0.3107344632768362,2
normalizada (actual),0.0,ARQ-0D-A90,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ARQ-0G-A93-CEPAUC,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ARQ-1C-A86,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ARQ-1C-A96,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ARQ-1E-A91,Campus Central,acceso,0.011363636363636364,59,0.3333333333333333,3
normalizada (actual),0.0,ARQ-1E-A92,Campus Central,acceso,0.0,55,0.3107344632768362,2
normalizada (actual),0.0,ART-0A-A15,Campus Yanuncay,acceso,0.0,58,0.327683615819209,2
normalizada (actual),0.0,AUL1-2A-A110,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL1-2A-A111,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL1-3A-A104,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL1-3A-A112,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-01A-A124-SUBLAB2,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-01A-A24-SUB,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-0A-A106,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-0A-A118,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-0A-A119,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-0A-A120,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-0A-A121,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-0A-A122,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,AUL2-0A-A123,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,BAL-AUL1-D4,Campus Balzay,agregacion,0.045064935064935065,54,0.3050847457627119,3
normalizada (actual),0.0,BAL-AUL2-D1,Campus Balzay,agregacion,0.11071428571428571,10,0.05649717514124294,3
normalizada (actual),0.0,BAL-CENTEC-D2,Campus Balzay,agregacion,0.05616883116883117,10,0.05649717514124294,3
normalizada (actual),0.0,BAL-EADM-D3,Campus Balzay,agregacion,0.0225974025974026,54,0.3050847457627119,3
normalizada (actual),0.0,BIB-2A-A16,Campus Yanuncay,acceso,0.0,58,0.327683615819209,2
normalizada (actual),0.0,BLOQUED-0A-A21,Campus Yanuncay,acceso,0.0,58,0.327683615819209,2
normalizada (actual),0.0,CB-EADMI-D6,Campus Balzay,agregacion,0.06701298701298701,10,0.05649717514124294,3
normalizada (actual),0.0,CC-ADM-D40,Campus Central,agregacion,0.05616883116883117,12,0.06779661016949153,3
normalizada (actual),0.0,CC-AETUC-D30,Campus Central,agregacion,0.03383116883116883,54,0.3050847457627119,3
normalizada (actual),0.0,CC-ARQUITECTURA-D107,Campus Central,agregacion,0.12123376623376624,9,0.05084745762711865,3
normalizada (actual),0.0,CC-BIBLIOTECA-D112,Campus Central,agregacion,0.02266233766233766,57,0.3220338983050847,3
normalizada (actual),0.0,CC-BLOQUE-IQ,Campus Central,agregacion,0.0,57,0.3220338983050847,2
normalizada (actual),0.0,CC-ECONOMIA-D51,Campus Central,agregacion,0.06701298701298701,10,0.05649717514124294,4
normalizada (actual),0.0,CC-FILOSOFIA-A-D108,Campus Central,agregacion,0.055974025974025975,12,0.06779661016949153,3
normalizada (actual),0.0,CC-FILOSOFIA-B-D111,Campus Central,agregacion,0.02266233766233766,57,0.3220338983050847,3
normalizada (actual),0.0,CC-JURISPRUDENCIA-D110,Campus Central,agregacion,0.045064935064935065,12,0.06779661016949153,3
normalizada (actual),0.0,CC-MONJAS-D126,Campus Central,agregacion,0.07811688311688311,10,0.05649717514124294,4
normalizada (actual),0.0,CC-PROMAS-D31,Campus Central,agregacion,0.03383116883116883,54,0.3050847457627119,3
normalizada (actual),0.0,CC-PSICOLOGIA-D125,Campus Central,agregacion,0.02266233766233766,57,0.3220338983050847,3
normalizada (actual),0.0,CC-QUIMICA-D109,Campus Central,agregacion,0.045,12,0.06779661016949153,3
normalizada (actual),0.0,CCADM-2A-A43,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,CCADM-2A-A44,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,CCADM-2A-A45,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,CCBIB-1A-A71,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,CCJ-1A-A10,Campus Central,acceso,0.0,60,0.3389830508474576,2
normalizada (actual),0.0,CCJ-1A-A11,Campus Central,acceso,0.0,60,0.3389830508474576,2
normalizada (actual),0.0,CCJ-CJURIDICO-D4,Campus Central,agregacion,0.02266233766233766,62,0.3502824858757062,3
normalizada (actual),0.0,CEA-0A-A108,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,CEN-1A-A20,Campus Yanuncay,acceso,0.0,58,0.327683615819209,2
normalizada (actual),0.0,CENDIA-0A-A19,Campus Paraiso,acceso,0.0,57,0.3220338983050847,2
normalizada (actual),0.0,CMED-0A-A42,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,CP-EADMINA1-D6,Campus Paraiso,agregacion,0.0890909090909091,55,0.3107344632768362,3
normalizada (actual),0.0,CP-ENFERMERIA-D1,Campus Paraiso,agregacion,0.03383116883116883,57,0.3220338983050847,3
normalizada (actual),0.0,CP-INVESTIGACION-D5,Campus Paraiso,agregacion,0.0561038961038961,57,0.3220338983050847,3
normalizada (actual),0.0,CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,0.08883116883116883,53,0.2994350282485876,3
normalizada (actual),0.0,CP-POSGRADO-D2,Campus Paraiso,agregacion,0.06714285714285714,57,0.3220338983050847,3
normalizada (actual),0.0,CP-TECMEDICO-D3,Campus Paraiso,agregacion,0.0561038961038961,57,0.3220338983050847,3
normalizada (actual),0.0,CPAR-C10,Campus Paraiso,core,0.4042857142857143,8,0.04519774011299435,3
normalizada (actual),0.0,CREDU-0B-A94,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,CTBLOQ1-0A-A101,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,CTBLOQ2-0A-A102,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,CTBLOQ3-0A-A103,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,DAN-1A-A11,Campus Yanuncay,acceso,0.0,58,0.327683615819209,2
normalizada (actual),0.0,DATCC-2A-C2,Campus Central,core,0.17059910327767486,58,0.327683615819209,2
normalizada (actual),0.0,DATCC-2A-C3,Campus Central,core,0.4467722892187181,59,0.3333333333333333,2
normalizada (actual),0.0,DT-0A-C12,Campus Balzay,core,0.08331761492475781,55,0.3107344632768362,2
normalizada (actual),0.0,DT-0A-C13,Campus Balzay,core,0.2235036332714906,59,0.3333333333333333,2
normalizada (actual),0.0,EA-0A-A114,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,EA-1A-A115,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,EA-1A-A116,Campus Balzay,acceso,0.0,54,0.3050847457627119,2
normalizada (actual),0.0,ECOK1-1A-A101,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ECOK1-1A-A102,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ECOK2-1A-A52,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ECOK3-0A-A63,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ENF-2B-A122,Campus Paraiso,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,ENF-2B-A22,Campus Paraiso,acceso,0.011363636363636364,60,0.3389830508474576,3
normalizada (actual),0.0,ENF-3A-A21,Campus Paraiso,acceso,0.0,57,0.3220338983050847,2
normalizada (actual),0.0,FILOA-0B-A56,Campus Central,acceso,0.0,56,0.3163841807909605,2
normalizada (actual),0.0,FILOA-2A-A55,Campus Central,acceso,0.0,56,0.3163841807909605,2
