diseno,puentes,puntos_articulacion,distancia_media,eficiencia_global,AUC_percolacion_adaptativa,f50_percolacion_adaptativa,S_5pct,S_10pct
Base,141,47,5.830380071905496,0.20821202245507564,0.03388234543075106,0.022598870056497175,0.05084745762711865,0.03389830508474576
Propuesta diagnostica,136,45,5.4949922958397535,0.21791006032145385,0.03729771138561716,0.022598870056497175,0.11299435028248588,0.03954802259887006
Alternativa grado ingenuo,138,45,4.521250642013354,0.2523657173021322,0.03388234543075106,0.022598870056497175,0.05084745762711865,0.03389830508474576
Alternativa intermediacion ingenua,140,46,4.6576142783769905,0.2441402778796534,0.03388234543075106,0.022598870056497175,0.05084745762711865,0.03389830508474576
