modelo,realizacion,clustering,distancia_media_CG,diametro_CG,asortatividad,fraccion_componente_gigante,componentes
"Erdos-Renyi G(n,m)",1,0.003766478342749529,5.535483870967742,12,-0.10406434093573358,0.8757062146892656,17
"Erdos-Renyi G(n,m)",2,0.023634651600753297,5.6687306501547985,13,-0.017018009089367306,0.864406779661017,18
"Erdos-Renyi G(n,m)",3,0.007156308851224105,5.851094448231462,13,-0.05180062357446305,0.9209039548022598,15
"Erdos-Renyi G(n,m)",4,0.019020715630885126,5.479830148619958,13,0.04890067740635245,0.8870056497175142,19
"Erdos-Renyi G(n,m)",5,0.0027172450901264463,5.646779005079416,12,0.03468194436241161,0.8926553672316384,18
"Erdos-Renyi G(n,m)",6,0.019478073715361848,5.376836568111736,12,0.01097181674203839,0.8418079096045198,23
"Erdos-Renyi G(n,m)",7,0.004708097928436911,5.221806362651433,13,0.045418439716311786,0.807909604519774,26
"Erdos-Renyi G(n,m)",8,0.010546139359698682,5.493651369490296,11,-0.008263724482958755,0.8418079096045198,22
"Erdos-Renyi G(n,m)",9,0.006591337099811676,5.898835403726708,12,0.08865755502318165,0.9096045197740112,15
"Erdos-Renyi G(n,m)",10,0.003389830508474576,5.375902992776058,12,0.035095269767987484,0.864406779661017,22
"Erdos-Renyi G(n,m)",11,0.017890772128060263,6.042634767272449,14,-0.014962593516209113,0.9152542372881356,14
"Erdos-Renyi G(n,m)",12,0.00943861537081876,5.327212572373862,11,0.08471577726218098,0.8813559322033898,20
"Erdos-Renyi G(n,m)",13,0.006187785848802798,5.1209770114942526,13,0.08164444054512496,0.8192090395480226,25
"Erdos-Renyi G(n,m)",14,0.0032015065913370997,5.445412651864265,12,0.08863466087498195,0.8757062146892656,21
"Erdos-Renyi G(n,m)",15,0.0,5.490570719602978,11,0.008058864751226528,0.8813559322033898,19
"Erdos-Renyi G(n,m)",16,0.01251008878127522,5.746529479013556,14,-0.001268428806993763,0.8870056497175142,19
"Erdos-Renyi G(n,m)",17,0.0032149582997040623,5.50687994496044,13,0.01384716123565197,0.864406779661017,20
"Erdos-Renyi G(n,m)",18,0.0,5.635814722911497,15,0.03594532260786381,0.8813559322033898,19
"Erdos-Renyi G(n,m)",19,0.0160075329566855,5.53215406064831,13,-0.07731958762886647,0.8587570621468926,21
"Erdos-Renyi G(n,m)",20,0.004708097928436911,5.820949313702937,14,-0.011932901258101241,0.9152542372881356,16
"Erdos-Renyi G(n,m)",21,0.013263384449825128,5.722737306843267,13,0.07924945086310686,0.8531073446327684,21
"Erdos-Renyi G(n,m)",22,0.0,5.533416046319272,12,-0.0488340712158895,0.8813559322033898,18
"Erdos-Renyi G(n,m)",23,0.009685230024213076,5.360665478312537,14,-0.05990732970921962,0.8700564971751412,23
"Erdos-Renyi G(n,m)",24,0.0,5.548503611971104,15,0.06338559987281116,0.864406779661017,20
"Erdos-Renyi G(n,m)",25,0.009416195856873822,5.937732919254659,14,-0.12409714537298103,0.9096045197740112,12
"Erdos-Renyi G(n,m)",26,0.003766478342749529,5.673397570171764,13,0.010069556295262188,0.8757062146892656,19
"Erdos-Renyi G(n,m)",27,0.0025289211729889694,5.519434917524089,12,-0.036914535467485576,0.8870056497175142,18
"Erdos-Renyi G(n,m)",28,0.007156308851224105,5.8441206910277845,14,0.10204806822586912,0.8983050847457628,15
"Erdos-Renyi G(n,m)",29,0.0,5.718520333170015,13,-0.04887582601045711,0.8870056497175142,17
"Erdos-Renyi G(n,m)",30,0.004519774011299435,5.270011034716917,12,0.06000032240904037,0.8700564971751412,19
"Erdos-Renyi G(n,m)",31,0.020433145009416197,5.680852695345449,12,-0.07284241976368135,0.9152542372881356,14
"Erdos-Renyi G(n,m)",32,0.006779661016949152,5.606060606060606,12,0.06688732162006078,0.8700564971751412,18
"Erdos-Renyi G(n,m)",33,0.003389830508474576,5.523820754716981,13,-0.12464244243677342,0.903954802259887,18
"Erdos-Renyi G(n,m)",34,0.004331450094161958,5.727468180254558,13,-0.010698236729852586,0.864406779661017,18
"Erdos-Renyi G(n,m)",35,0.00490987355394135,5.510682865521575,14,-0.0022538723445067453,0.8757062146892656,18
"Erdos-Renyi G(n,m)",36,0.00893193435566317,5.235352802466896,12,-0.07899647121380615,0.8418079096045198,25
"Erdos-Renyi G(n,m)",37,0.001694915254237288,5.530540427314621,16,-0.0001232741617348814,0.8757062146892656,23
"Erdos-Renyi G(n,m)",38,0.008097928436911489,5.819354838709677,13,0.012881064834693184,0.8757062146892656,18
"Erdos-Renyi G(n,m)",39,0.019962335216572508,5.521671826625387,12,-0.05996847371667495,0.864406779661017,20
"Erdos-Renyi G(n,m)",40,0.0,5.71484566389025,15,0.02535207991719825,0.8870056497175142,19
"Erdos-Renyi G(n,m)",41,0.02448210922787194,5.570674486803519,14,-0.13687150837988793,0.8757062146892656,19
"Erdos-Renyi G(n,m)",42,0.00583804143126177,5.6610738255033555,14,0.10956451747203586,0.8418079096045198,23
"Erdos-Renyi G(n,m)",43,0.011312886736615551,5.42924172601592,12,-0.00635514747451129,0.8757062146892656,19
"Erdos-Renyi G(n,m)",44,0.003923414940364093,5.388716890264878,13,-0.026399992869684728,0.864406779661017,22
"Erdos-Renyi G(n,m)",45,0.0012868801004394224,5.105682326621924,11,0.051782473624311216,0.847457627118644,23
"Erdos-Renyi G(n,m)",46,0.0,5.112665112665113,14,-0.03373877787431199,0.8135593220338984,23
"Erdos-Renyi G(n,m)",47,0.010721011568469194,5.753602420189475,14,-0.002253293274786219,0.8983050847457628,18
"Erdos-Renyi G(n,m)",48,0.007156308851224105,5.702894461017496,12,-0.09339813044401933,0.8926553672316384,19
"Erdos-Renyi G(n,m)",49,0.004788808178638687,4.999028749028749,11,-0.04794174773896087,0.8135593220338984,24
"Erdos-Renyi G(n,m)",50,0.002448210922787194,5.916310570023382,14,-0.1418062047610595,0.8926553672316384,14
"Erdos-Renyi G(n,m)",51,0.010922787193973636,5.803060380479735,14,0.02526233968130553,0.8813559322033898,18
