grado,frecuencia,probabilidad
1,113,0.6384180790960452
2,22,0.12429378531073447
3,6,0.03389830508474576
4,7,0.03954802259887006
5,9,0.05084745762711865
6,7,0.03954802259887006
7,4,0.022598870056497175
8,3,0.01694915254237288
9,1,0.005649717514124294
10,1,0.005649717514124294
12,2,0.011299435028248588
16,1,0.005649717514124294
17,1,0.005649717514124294
