ataque,modelo,AUC_S,f50,S_inicial
fallo_aleatorio,Configuracion,0.27604471895049315,0.22598870056497175,0.7982485875706213
fallo_aleatorio,Erdos-Renyi,0.28092565993169266,0.2711864406779661,0.8719774011299437
fallo_aleatorio,UCuenca,0.2779852532797089,0.23728813559322035,1.0
grado_desc,Configuracion,0.05894458808133039,0.04519774011299435,0.7982485875706213
grado_desc,Erdos-Renyi,0.11529541319544193,0.10734463276836158,0.8719774011299437
grado_desc,UCuenca,0.045181780458999656,0.022598870056497175,1.0
