tipo,estrategia,fc_pico_segunda_componente,f50
nodos,aleatorio_media_100,0.2711864406779661,0.23728813559322035
nodos,grado_desc,0.011299435028248588,0.022598870056497175
nodos,intermediacion_desc,0.05084745762711865,0.04519774011299435
nodos,intermediacion_adaptativa,0.011299435028248588,0.022598870056497175
enlaces,aleatorio_media_100,0.47368421052631576,0.36363636363636365
enlaces,intermediacion_arista_desc,0.004784688995215311,0.17703349282296652
enlaces,intermediacion_arista_adaptativa,0.03349282296650718,0.03349282296650718
enlaces,puentes_P1_primero,0.004784688995215311,0.22009569377990432
