ranking_pesos_iguales,nodo,indice_pesos_iguales
154,AETUCCF-2A-A79,0.0
155,CCBIB-1A-A71,0.0
156,CENDIA-0A-A19,0.0
157,JUR-1A-A62,0.0
158,FILOA-2A-A55,0.0
159,JUR-1A-A61,0.0
160,JUR-0A-A60,0.0
161,JUR-0A-A59,0.0
162,INV-1B-A162,0.0
163,INV-1A-A61,0.0
164,INV-1A-A161,0.0
165,FILOB-2A-A57,0.0
166,FILOB-1B-A58,0.0
167,FILOA-0B-A56,0.0
168,CMED-0A-A42,0.0
169,ENF-3A-A21,0.0
170,ENF-2B-A122,0.0
171,ECOK3-0A-A63,0.0
172,ECOK2-1A-A52,0.0
173,ECOK1-1A-A102,0.0
174,ECOK1-1A-A101,0.0
175,DAN-1A-A11,0.0
176,CREDU-0B-A94,0.0
177,VIN-0A-A72,0.0
