tau,trigger,fallos_totales,fraccion_afectada,generaciones
0.0,ROUTER-CAMPUS-CENTRO-HISTORICO,59,0.3333333333333333,2
0.002,ROUTER-CAMPUS-CENTRO-HISTORICO,57,0.3220338983050847,2
0.004,ROUTER-CAMPUS-CENTRO-HISTORICO,53,0.2994350282485876,2
0.006,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.008,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.01,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.012,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.014,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.016,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.018000000000000002,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.02,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,3
0.022,ROUTER-CAMPUS-CENTRO-HISTORICO,58,0.327683615819209,3
0.024,ROUTER-CAMPUS-CENTRO-HISTORICO,58,0.327683615819209,3
0.026000000000000002,ROUTER-CAMPUS-CENTRO-HISTORICO,60,0.3389830508474576,4
0.028,ROUTER-CAMPUS-CENTRO-HISTORICO,58,0.327683615819209,4
0.03,ROUTER-CAMPUS-CENTRO-HISTORICO,57,0.3220338983050847,4
0.032,ROUTER-CAMPUS-CENTRO-HISTORICO,57,0.3220338983050847,4
0.034,ROUTER-CAMPUS-CENTRO-HISTORICO,56,0.3163841807909605,4
0.036000000000000004,ROUTER-CAMPUS-CENTRO-HISTORICO,13,0.07344632768361582,4
0.038,ROUTER-CAMPUS-CENTRO-HISTORICO,12,0.06779661016949153,4
0.04,ROUTER-CAMPUS-CENTRO-HISTORICO,12,0.06779661016949153,4
0.042,ROUTER-CAMPUS-CENTRO-HISTORICO,12,0.06779661016949153,4
0.044,ROUTER-CAMPUS-CENTRO-HISTORICO,12,0.06779661016949153,4
0.046,ROUTER-CAMPUS-CENTRO-HISTORICO,12,0.06779661016949153,4
0.048,ROUTER-CAMPUS-CENTRO-HISTORICO,12,0.06779661016949153,4
0.05,ROUTER-CAMPUS-CENTRO-HISTORICO,12,0.06779661016949153,4
