estrategia,m,lambda,tamano_final_medio,std,prob_brote_mayor_20pct,reduccion_media_vs_base_pct
ninguna,0,1.0,0.10344632768361582,0.1487341069183154,0.229,0.0
aleatoria,10,1.0,0.08049717514124294,0.12244414697153881,0.181,22.184598580010924
centralidad,10,1.0,0.018152542372881355,0.020173828349985018,0.0,82.45221190606226
