modelo_A,modelo_B,interseccion_top10,nodos_comunes
saltos,latencia,9,DATCC-2A-C2 | DATCC-2A-C3 | FORTIGATE-1800F-CENTRAL | INTERNET-MPLS | PE1-BALZAY | PE1-CENTRAL | PE2-BALZAY | PE2-CENTRAL | ROUTER-CAMPUS-HUAYNA-CAPAC
saltos,carga,4,DATCC-2A-C3 | FORTIGATE-1800F-CENTRAL | INTERNET-MPLS | PE2-CENTRAL
latencia,carga,4,DATCC-2A-C3 | FORTIGATE-1800F-CENTRAL | INTERNET-MPLS | PE2-CENTRAL
