Métrica,Antes,Después
Puentes,141.0,136.0
Articulaciones,47.0,45.0
Distancia media,5.830380071905496,5.4949922958397535
Eficiencia,0.20821202245507564,0.21791006032145385
AUC ataque adaptativo,0.03388234543075106,0.03729771138561716
