resolution_gamma,n_comunidades,Q_con_gamma,Q_estandar_gamma1,NMI_vs_particion_gamma1,ARI_vs_particion_gamma1
0.5,9,0.8199445983379502,0.7164442205993452,0.8107886332734804,0.5535963689857063
0.75,10,0.7918917836130126,0.7512305121219752,0.9159499657922299,0.7635541689355952
1.0,14,0.7631807879856228,0.7631807879856228,1.0,1.0
1.25,16,0.7357575376021612,0.7627687095075661,0.9745813746958748,0.9402552624663592
1.5,18,0.7140232595407614,0.7599070534099492,0.9456832544045296,0.8287649145436956
2.0,22,0.682630892149905,0.7504063551658616,0.8917092293803284,0.6405337259340032
