campus,capa,cantidad
Campus Central,agregacion,13
Campus Central,acceso,10
Campus Paraiso,acceso,6
Campus Paraiso,agregacion,6
Campus Balzay,agregacion,5
Campus Balzay,acceso,1
Campus Hospitalidad,agregacion,1
Campus Paraiso,core,1
Campus Paraiso,wan,1
Campus Yanuncay,agregacion,1
Campus Yanuncay,wan,1
Nube MPLS,wan,1
