campus,algoritmo,iteracion,longitud_camino,delta_mbps,flujo_acumulado_mbps,camino
Campus Balzay,Ford-Fulkerson DFS,15,5,1000,15000,SUPER_SOURCE::Campus Balzay -> CTBLOQ1-0A-A101 -> BAL-CENTEC-D2 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,16,5,1000,16000,SUPER_SOURCE::Campus Balzay -> CTBLOQ2-0A-A102 -> BAL-CENTEC-D2 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,17,5,1000,17000,SUPER_SOURCE::Campus Balzay -> CTBLOQ3-0A-A103 -> BAL-CENTEC-D2 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,18,5,1000,18000,SUPER_SOURCE::Campus Balzay -> EA-0A-A114 -> CB-EADMI-D6 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,19,5,1000,19000,SUPER_SOURCE::Campus Balzay -> EA-1A-A115 -> CB-EADMI-D6 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,20,5,1000,20000,SUPER_SOURCE::Campus Balzay -> EA-1A-A116 -> CB-EADMI-D6 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,21,5,1000,21000,SUPER_SOURCE::Campus Balzay -> MICRORED-1A-A109 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,22,6,1000,22000,SUPER_SOURCE::Campus Balzay -> QUIN-1A-A117 -> BAL-EADM-D3 -> CB-EADMI-D6 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Ford-Fulkerson DFS,23,7,1000,23000,SUPER_SOURCE::Campus Balzay -> VLIR-0A-A107 -> BAL-CENTEC-D2 -> DT-0A-C13 -> PE2-BALZAY -> PE1-BALZAY -> PE2-CENTRAL -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,1,5,1000,1000,SUPER_SOURCE::Campus Balzay -> AUL1-2A-A110 -> BAL-AUL1-D4 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,2,5,1000,2000,SUPER_SOURCE::Campus Balzay -> AUL1-2A-A111 -> BAL-AUL1-D4 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,3,5,1000,3000,SUPER_SOURCE::Campus Balzay -> AUL1-3A-A104 -> BAL-AUL1-D4 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,4,5,1000,4000,SUPER_SOURCE::Campus Balzay -> AUL1-3A-A112 -> BAL-AUL1-D4 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,5,5,1000,5000,SUPER_SOURCE::Campus Balzay -> AUL2-01A-A124-SUBLAB2 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,6,5,1000,6000,SUPER_SOURCE::Campus Balzay -> AUL2-01A-A24-SUB -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,7,5,1000,7000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A106 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,8,5,1000,8000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A118 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,9,5,1000,9000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A119 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,10,5,1000,10000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A120 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,11,6,1000,11000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A121 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,12,6,1000,12000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A122 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,13,6,1000,13000,SUPER_SOURCE::Campus Balzay -> AUL2-0A-A123 -> BAL-AUL2-D1 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,14,6,1000,14000,SUPER_SOURCE::Campus Balzay -> CEA-0A-A108 -> BAL-CENTEC-D2 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,15,6,1000,15000,SUPER_SOURCE::Campus Balzay -> CTBLOQ1-0A-A101 -> BAL-CENTEC-D2 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,16,6,1000,16000,SUPER_SOURCE::Campus Balzay -> CTBLOQ2-0A-A102 -> BAL-CENTEC-D2 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,17,6,1000,17000,SUPER_SOURCE::Campus Balzay -> CTBLOQ3-0A-A103 -> BAL-CENTEC-D2 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,18,6,1000,18000,SUPER_SOURCE::Campus Balzay -> EA-0A-A114 -> CB-EADMI-D6 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,19,6,1000,19000,SUPER_SOURCE::Campus Balzay -> EA-1A-A115 -> CB-EADMI-D6 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,20,6,1000,20000,SUPER_SOURCE::Campus Balzay -> EA-1A-A116 -> CB-EADMI-D6 -> DT-0A-C12 -> FORTIGATE-1800F-BALZAY -> PE1-BALZAY -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,21,6,1000,21000,SUPER_SOURCE::Campus Balzay -> MICRORED-1A-A109 -> BAL-AUL2-D1 -> DT-0A-C13 -> PE2-BALZAY -> PE1-CENTRAL -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,22,6,1000,22000,SUPER_SOURCE::Campus Balzay -> VLIR-0A-A107 -> BAL-CENTEC-D2 -> DT-0A-C13 -> PE2-BALZAY -> PE1-CENTRAL -> INTERNET-MPLS
Campus Balzay,Edmonds-Karp BFS,23,7,1000,23000,SUPER_SOURCE::Campus Balzay -> QUIN-1A-A117 -> BAL-EADM-D3 -> CB-EADMI-D6 -> DT-0A-C13 -> PE2-BALZAY -> PE1-CENTRAL -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,1,5,1000,1000,SUPER_SOURCE::Campus Paraiso -> CENDIA-0A-A19 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,2,5,1000,2000,SUPER_SOURCE::Campus Paraiso -> ENF-2B-A22 -> CP-ENFERMERIA-D1 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,3,5,1000,3000,SUPER_SOURCE::Campus Paraiso -> ENF-3A-A21 -> CP-ENFERMERIA-D1 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,4,5,1000,4000,SUPER_SOURCE::Campus Paraiso -> INV-1A-A161 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,5,5,1000,5000,SUPER_SOURCE::Campus Paraiso -> INV-1A-A61 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,6,5,1000,6000,SUPER_SOURCE::Campus Paraiso -> INV-1B-A62 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,7,5,1000,7000,SUPER_SOURCE::Campus Paraiso -> MEDADM-0F-A16 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,8,5,1000,8000,SUPER_SOURCE::Campus Paraiso -> MEDADM-0G-A17 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,9,5,1000,9000,SUPER_SOURCE::Campus Paraiso -> MEDADM-1A-A11 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Ford-Fulkerson DFS,10,5,1000,10000,SUPER_SOURCE::Campus Paraiso -> MEDADM-1B-A12 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,1,5,1000,1000,SUPER_SOURCE::Campus Paraiso -> CENDIA-0A-A19 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,2,5,1000,2000,SUPER_SOURCE::Campus Paraiso -> ENF-2B-A22 -> CP-ENFERMERIA-D1 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,3,5,1000,3000,SUPER_SOURCE::Campus Paraiso -> ENF-3A-A21 -> CP-ENFERMERIA-D1 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,4,5,1000,4000,SUPER_SOURCE::Campus Paraiso -> INV-1A-A161 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,5,5,1000,5000,SUPER_SOURCE::Campus Paraiso -> INV-1A-A61 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,6,5,1000,6000,SUPER_SOURCE::Campus Paraiso -> INV-1B-A62 -> CP-INVESTIGACION-D5 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,7,5,1000,7000,SUPER_SOURCE::Campus Paraiso -> MEDADM-0F-A16 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,8,5,1000,8000,SUPER_SOURCE::Campus Paraiso -> MEDADM-0G-A17 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,9,5,1000,9000,SUPER_SOURCE::Campus Paraiso -> MEDADM-1A-A11 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Paraiso,Edmonds-Karp BFS,10,5,1000,10000,SUPER_SOURCE::Campus Paraiso -> MEDADM-1B-A12 -> CP-EADMINA1-D6 -> CPAR-C10 -> ROUTER-CAMPUS-HUAYNA-CAPAC -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,1,4,1000,1000,SUPER_SOURCE::Campus Yanuncay -> AGRPRI-1A-A19 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,2,4,1000,2000,SUPER_SOURCE::Campus Yanuncay -> ANF-0A-A14 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,3,4,1000,3000,SUPER_SOURCE::Campus Yanuncay -> ART-0A-A15 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,4,4,1000,4000,SUPER_SOURCE::Campus Yanuncay -> BIB-2A-A16 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,5,4,1000,5000,SUPER_SOURCE::Campus Yanuncay -> BLOQUED-0A-A21 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,6,4,1000,6000,SUPER_SOURCE::Campus Yanuncay -> CEN-1A-A20 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,7,4,1000,7000,SUPER_SOURCE::Campus Yanuncay -> DAN-1A-A11 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,8,4,1000,8000,SUPER_SOURCE::Campus Yanuncay -> LAB-1A-A18 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,9,4,1000,9000,SUPER_SOURCE::Campus Yanuncay -> LABMAC-1A-A13 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Ford-Fulkerson DFS,10,4,1000,10000,SUPER_SOURCE::Campus Yanuncay -> LAC-0A-A17 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,1,4,1000,1000,SUPER_SOURCE::Campus Yanuncay -> AGRPRI-1A-A19 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,2,4,1000,2000,SUPER_SOURCE::Campus Yanuncay -> ANF-0A-A14 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,3,4,1000,3000,SUPER_SOURCE::Campus Yanuncay -> ART-0A-A15 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,4,4,1000,4000,SUPER_SOURCE::Campus Yanuncay -> BIB-2A-A16 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,5,4,1000,5000,SUPER_SOURCE::Campus Yanuncay -> BLOQUED-0A-A21 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,6,4,1000,6000,SUPER_SOURCE::Campus Yanuncay -> CEN-1A-A20 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,7,4,1000,7000,SUPER_SOURCE::Campus Yanuncay -> DAN-1A-A11 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,8,4,1000,8000,SUPER_SOURCE::Campus Yanuncay -> LAB-1A-A18 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,9,4,1000,9000,SUPER_SOURCE::Campus Yanuncay -> LABMAC-1A-A13 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Yanuncay,Edmonds-Karp BFS,10,4,1000,10000,SUPER_SOURCE::Campus Yanuncay -> LAC-0A-A17 -> AGRPRI-1A-D10 -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Hospitalidad,Ford-Fulkerson DFS,1,3,1000,1000,SUPER_SOURCE::Campus Hospitalidad -> HOS-0A-A10 -> HOS-0A-D05 -> INTERNET-MPLS
Campus Hospitalidad,Ford-Fulkerson DFS,2,3,1000,2000,SUPER_SOURCE::Campus Hospitalidad -> HOS-0A-A13 -> HOS-0A-D05 -> INTERNET-MPLS
Campus Hospitalidad,Ford-Fulkerson DFS,3,3,1000,3000,SUPER_SOURCE::Campus Hospitalidad -> HOS-1A-A12 -> HOS-0A-D05 -> INTERNET-MPLS
Campus Hospitalidad,Ford-Fulkerson DFS,4,3,1000,4000,SUPER_SOURCE::Campus Hospitalidad -> HOS-2A-A11 -> HOS-0A-D05 -> INTERNET-MPLS
Campus Hospitalidad,Edmonds-Karp BFS,1,3,1000,1000,SUPER_SOURCE::Campus Hospitalidad -> HOS-0A-A10 -> HOS-0A-D05 -> INTERNET-MPLS
Campus Hospitalidad,Edmonds-Karp BFS,2,3,1000,2000,SUPER_SOURCE::Campus Hospitalidad -> HOS-0A-A13 -> HOS-0A-D05 -> INTERNET-MPLS
Campus Hospitalidad,Edmonds-Karp BFS,3,3,1000,3000,SUPER_SOURCE::Campus Hospitalidad -> HOS-1A-A12 -> HOS-0A-D05 -> INTERNET-MPLS
Campus Hospitalidad,Edmonds-Karp BFS,4,3,1000,4000,SUPER_SOURCE::Campus Hospitalidad -> HOS-2A-A11 -> HOS-0A-D05 -> INTERNET-MPLS
