campus,algoritmo,iteracion,longitud_camino,delta_mbps,flujo_acumulado_mbps,camino
Campus Central,Ford-Fulkerson DFS,22,5,1000,22000,SUPER_SOURCE::Campus Central -> ECOK3-0A-A63 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,23,5,1000,23000,SUPER_SOURCE::Campus Central -> FILOA-0B-A56 -> CC-FILOSOFIA-A-D108 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,24,5,1000,24000,SUPER_SOURCE::Campus Central -> FILOA-2A-A55 -> CC-FILOSOFIA-A-D108 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,25,6,1000,25000,SUPER_SOURCE::Campus Central -> FILOB-1B-A58 -> CC-FILOSOFIA-B-D111 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,26,6,1000,26000,SUPER_SOURCE::Campus Central -> FILOB-2A-A57 -> CC-FILOSOFIA-B-D111 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,27,6,1000,27000,SUPER_SOURCE::Campus Central -> JUR-0A-A59 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,28,6,1000,28000,SUPER_SOURCE::Campus Central -> JUR-0A-A60 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,29,6,1000,29000,SUPER_SOURCE::Campus Central -> JUR-1A-A61 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,30,6,1000,30000,SUPER_SOURCE::Campus Central -> JUR-1A-A62 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,31,6,1000,31000,SUPER_SOURCE::Campus Central -> MON-0A-A103 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,32,6,1000,32000,SUPER_SOURCE::Campus Central -> MON-0A-A104 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,33,7,1000,33000,SUPER_SOURCE::Campus Central -> MON-1B-A67 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,34,7,1000,34000,SUPER_SOURCE::Campus Central -> MON-1C-A105 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,35,8,1000,35000,SUPER_SOURCE::Campus Central -> MON-1C-A106 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,36,8,1000,36000,SUPER_SOURCE::Campus Central -> POST-1A-A64 -> CC-FILOSOFIA-A-D108 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,37,8,1000,37000,SUPER_SOURCE::Campus Central -> PRO-1A-A73 -> CC-PROMAS-D31 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,38,8,1000,38000,SUPER_SOURCE::Campus Central -> PSIC-1A-A53 -> CC-PSICOLOGIA-D125 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,39,8,1000,39000,SUPER_SOURCE::Campus Central -> PSIC-2B-A54 -> CC-PSICOLOGIA-D125 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,40,8,1000,40000,SUPER_SOURCE::Campus Central -> QUI-0A-A78 -> CC-QUIMICA-D109 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,41,8,1000,41000,SUPER_SOURCE::Campus Central -> QUI-1A-A83 -> CC-QUIMICA-D109 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,42,8,1000,42000,SUPER_SOURCE::Campus Central -> QUI-2A-A82 -> CC-QUIMICA-D109 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,43,8,1000,43000,SUPER_SOURCE::Campus Central -> TEAT-0A-A75 -> CC-ADM-D40 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Central,Ford-Fulkerson DFS,44,13,1000,44000,SUPER_SOURCE::Campus Central -> TECQUI-0A-A10 -> CC-ECONOMIA-D51 -> DATCC-2A-C3 -> SW-ARUBA-CENTRO-HISTORICO -> ROUTER-CAMPUS-CENTRO-HISTORICO -> ROUTER-L2TP-BALZAY -> DT-0A-C13 -> FORTIGATE-1800F-BALZAY -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> ROUTER-CAMPUS-YANUNCAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,1,3,1000,1000,SUPER_SOURCE::Campus Central -> CCJ-1A-A10 -> CCJ-CJURIDICO-D4 -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,2,3,1000,2000,SUPER_SOURCE::Campus Central -> CCJ-1A-A11 -> CCJ-CJURIDICO-D4 -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,3,5,1000,3000,SUPER_SOURCE::Campus Central -> AETUC-0A-A76 -> CC-AETUC-D30 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,4,5,1000,4000,SUPER_SOURCE::Campus Central -> AETUC-0A-A97 -> CC-AETUC-D30 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,5,5,1000,5000,SUPER_SOURCE::Campus Central -> ARQ-0A-A85 -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,6,5,1000,6000,SUPER_SOURCE::Campus Central -> ARQ-0B-A87 -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,7,5,1000,7000,SUPER_SOURCE::Campus Central -> ARQ-0D-A88 -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,8,5,1000,8000,SUPER_SOURCE::Campus Central -> ARQ-0D-A90 -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,9,5,1000,9000,SUPER_SOURCE::Campus Central -> ARQ-0G-A93-CEPAUC -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,10,5,1000,10000,SUPER_SOURCE::Campus Central -> ARQ-1C-A86 -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,11,5,1000,11000,SUPER_SOURCE::Campus Central -> ARQ-1C-A96 -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,12,5,1000,12000,SUPER_SOURCE::Campus Central -> ARQ-1E-A91 -> CC-ARQUITECTURA-D107 -> DATCC-2A-C3 -> PE2-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,13,6,1000,13000,SUPER_SOURCE::Campus Central -> CCADM-2A-A43 -> CC-ADM-D40 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,14,6,1000,14000,SUPER_SOURCE::Campus Central -> CCADM-2A-A44 -> CC-ADM-D40 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,15,6,1000,15000,SUPER_SOURCE::Campus Central -> CCADM-2A-A45 -> CC-ADM-D40 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,16,6,1000,16000,SUPER_SOURCE::Campus Central -> CCBIB-1A-A71 -> CC-BIBLIOTECA-D112 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,17,6,1000,17000,SUPER_SOURCE::Campus Central -> CMED-0A-A42 -> CC-ADM-D40 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,18,6,1000,18000,SUPER_SOURCE::Campus Central -> CREDU-0B-A94 -> CC-PROMAS-D31 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,19,6,1000,19000,SUPER_SOURCE::Campus Central -> ECOK1-1A-A101 -> CC-ECONOMIA-D51 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,20,6,1000,20000,SUPER_SOURCE::Campus Central -> ECOK1-1A-A102 -> CC-ECONOMIA-D51 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,21,6,1000,21000,SUPER_SOURCE::Campus Central -> ECOK2-1A-A52 -> CC-ECONOMIA-D51 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,22,6,1000,22000,SUPER_SOURCE::Campus Central -> ECOK3-0A-A63 -> CC-MONJAS-D126 -> DATCC-2A-C2 -> FORTIGATE-1800F-CENTRAL -> PE1-CENTRAL -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,23,6,1000,23000,SUPER_SOURCE::Campus Central -> FILOA-0B-A56 -> CC-FILOSOFIA-A-D108 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,24,6,1000,24000,SUPER_SOURCE::Campus Central -> FILOA-2A-A55 -> CC-FILOSOFIA-A-D108 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,25,6,1000,25000,SUPER_SOURCE::Campus Central -> FILOB-1B-A58 -> CC-FILOSOFIA-B-D111 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,26,6,1000,26000,SUPER_SOURCE::Campus Central -> FILOB-2A-A57 -> CC-FILOSOFIA-B-D111 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,27,6,1000,27000,SUPER_SOURCE::Campus Central -> JUR-0A-A59 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,28,6,1000,28000,SUPER_SOURCE::Campus Central -> JUR-0A-A60 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,29,6,1000,29000,SUPER_SOURCE::Campus Central -> JUR-1A-A61 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,30,6,1000,30000,SUPER_SOURCE::Campus Central -> JUR-1A-A62 -> CC-JURISPRUDENCIA-D110 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,31,6,1000,31000,SUPER_SOURCE::Campus Central -> MON-0A-A103 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,32,6,1000,32000,SUPER_SOURCE::Campus Central -> MON-0A-A104 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> PE2-CENTRAL -> PE1-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,33,7,1000,33000,SUPER_SOURCE::Campus Central -> MON-1B-A67 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> FORTIGATE-1800F-BALZAY -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,34,8,1000,34000,SUPER_SOURCE::Campus Central -> MON-1C-A105 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,35,8,1000,35000,SUPER_SOURCE::Campus Central -> MON-1C-A106 -> CC-MONJAS-D126 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,36,8,1000,36000,SUPER_SOURCE::Campus Central -> POST-1A-A64 -> CC-FILOSOFIA-A-D108 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,37,8,1000,37000,SUPER_SOURCE::Campus Central -> PRO-1A-A73 -> CC-PROMAS-D31 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,38,8,1000,38000,SUPER_SOURCE::Campus Central -> PSIC-1A-A53 -> CC-PSICOLOGIA-D125 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
Campus Central,Edmonds-Karp BFS,39,8,1000,39000,SUPER_SOURCE::Campus Central -> PSIC-2B-A54 -> CC-PSICOLOGIA-D125 -> DATCC-2A-C3 -> FORTIGATE-1800F-CENTRAL -> PE2-CENTRAL -> PE1-CENTRAL -> PE2-BALZAY -> INTERNET-MPLS
