seed_1,seed_2,NMI_entre_particiones,ARI_entre_particiones
11,22,0.9432726746090271,0.8262897882253778
11,33,0.8972726373724121,0.6918534419238244
11,44,0.8385114108272873,0.5754643858824926
11,55,0.8968628032188214,0.7264611361950994
22,33,0.9419814611723316,0.8115859845997732
22,44,0.8149761861049056,0.527396239537021
22,55,0.9067761266394563,0.7553559087767795
33,44,0.8721206337387546,0.6740604001066469
33,55,0.9216438599117514,0.7874921055070689
44,55,0.9069165645123733,0.739057034818954
