modelo,clustering_mean,clustering_std,distancia_media_CG_mean,distancia_media_CG_std,diametro_CG_mean,diametro_CG_std,asortatividad_mean,asortatividad_std,fraccion_componente_gigante_mean,fraccion_componente_gigante_std,componentes_mean,componentes_std
Configuracion (grado preservado),0.016906062716132507,0.006826153946995295,4.137707340544178,0.12130263484351314,9.09,0.975404603953735,-0.07102633935650127,0.06317926933449722,0.8036723163841808,0.036898339429424165,17.21,2.8999999999999995
"Erdos-Renyi G(n,m)",0.008748004663258901,0.006987910752135718,5.5770674365145005,0.21215129610049224,13.17,1.3337499349161706,-0.0047948790551072575,0.06643109100557072,0.8761581920903955,0.024259586885891204,19.37,2.855634161556144
