removed,f,S_mean,S_std,S2_mean,S2_std
0,0.0,1.0,0.0,0.0,0.0
1,0.005649717514124294,0.9865536723163858,0.02685941077761927,0.0029378531073446334,0.009277527133108542
2,0.011299435028248588,0.9751977401129943,0.03513040755006837,0.004915254237288137,0.010397582839696435
3,0.01694915254237288,0.9636723163841815,0.03710641589569775,0.00615819209039548,0.010534362539319771
4,0.022598870056497175,0.9400564971751411,0.06259350400611137,0.01661016949152542,0.04163170761318141
5,0.02824858757062147,0.9277401129943503,0.06651616167414957,0.017796610169491522,0.04141861412220587
6,0.03389830508474576,0.9155367231638419,0.0658148553286076,0.019265536723163838,0.04147089200483503
7,0.03954802259887006,0.8988135593220343,0.07401739803835436,0.02406779661016948,0.05012015755891889
8,0.04519774011299435,0.8877401129943501,0.07818032874988604,0.024632768361581906,0.049796827057941646
9,0.05084745762711865,0.872033898305085,0.08164099004133003,0.029435028248587555,0.0561267029345644
10,0.05649717514124294,0.8587005649717514,0.08488259607020282,0.03096045197740111,0.05701118684028491
11,0.062146892655367235,0.8467796610169493,0.08503737231886326,0.03248587570621467,0.056937025464560406
12,0.06779661016949153,0.830282485875706,0.09326026063910206,0.03519774011299433,0.05959035255081955
13,0.07344632768361582,0.8182485875706216,0.09394275117905058,0.03751412429378529,0.06136911945096822
14,0.07909604519774012,0.8079096045197738,0.09657914429346957,0.03774011299435027,0.061060263075289806
15,0.0847457627118644,0.7980790960451978,0.0953988949839011,0.03740112994350281,0.05994598261653824
16,0.0903954802259887,0.780508474576271,0.1032628935528845,0.0363276836158192,0.05355733666185361
17,0.096045197740113,0.7684745762711863,0.10593109626768375,0.03621468926553671,0.05093358884110638
18,0.1016949152542373,0.7568361581920903,0.10692155699149025,0.03903954802259886,0.05457020251577364
19,0.10734463276836158,0.7462711864406777,0.10657474479193772,0.04158192090395478,0.05684150053590226
20,0.11299435028248588,0.7331638418079096,0.10896441729550889,0.04073446327683614,0.05382779631759935
21,0.11864406779661017,0.717514124293785,0.11256839189817223,0.04474576271186437,0.06175228671523867
22,0.12429378531073447,0.7045762711864405,0.11765839271385271,0.04440677966101691,0.061182327491404835
23,0.12994350282485875,0.6924858757062147,0.11935597309579829,0.04644067796610165,0.062121362516882585
24,0.13559322033898305,0.6771186440677966,0.11795145719653094,0.048813559322033885,0.06261217348761428
25,0.14124293785310735,0.6638418079096041,0.11724719353295934,0.05254237288135591,0.06872005163101613
26,0.14689265536723164,0.6531638418079093,0.11528493514575285,0.054915254237288116,0.07020343087930352
27,0.15254237288135594,0.6443502824858757,0.11452024263117164,0.05457627118644066,0.06913505054195454
28,0.15819209039548024,0.6359887005649718,0.11278087178549882,0.05508474576271185,0.06816831562236633
29,0.1638418079096045,0.628135593220339,0.11266395799150648,0.056271186440677946,0.06816143352795637
30,0.1694915254237288,0.6122598870056496,0.1174674044196533,0.0587005649717514,0.07043184037126651
31,0.1751412429378531,0.6031638418079097,0.1138163333963954,0.05847457627118641,0.068592669872413
32,0.1807909604519774,0.5884745762711865,0.11422804231756582,0.06169491525423726,0.06922108680451279
33,0.1864406779661017,0.5800564971751413,0.11367442152179526,0.06158192090395476,0.06706745178166862
34,0.192090395480226,0.5693785310734465,0.1156972283825642,0.06338983050847455,0.06710628399252577
35,0.1977401129943503,0.5577966101694916,0.11963550128764447,0.06231638418079093,0.06435887991772407
36,0.2033898305084746,0.5481920903954803,0.11711775335992057,0.06220338983050845,0.06274064879008984
37,0.20903954802259886,0.5391525423728815,0.1171970109935167,0.06367231638418075,0.06422548424445998
38,0.21468926553672316,0.5329378531073448,0.114946485244204,0.06327683615819206,0.0636918665916294
39,0.22033898305084745,0.5192655367231639,0.11769346310508962,0.06553672316384175,0.06314789448515622
40,0.22598870056497175,0.5132203389830508,0.11588696077888473,0.06418079096045194,0.06039469573809695
41,0.23163841807909605,0.5027683615819208,0.11610869627719574,0.06683615819209035,0.060631979828883985
42,0.23728813559322035,0.49209039548022604,0.11678429772252218,0.06853107344632765,0.06061389725676573
43,0.24293785310734464,0.4848022598870056,0.11598144649412073,0.06853107344632765,0.05895282447147155
44,0.24858757062146894,0.47508474576271176,0.11216696163818182,0.07079096045197737,0.05839121018415232
45,0.2542372881355932,0.46451977401129924,0.11382613441203276,0.07361581920903953,0.061116076867811515
46,0.2598870056497175,0.4523163841807908,0.11258219644710173,0.07593220338983049,0.061880801843222824
47,0.2655367231638418,0.4446892655367231,0.1113105583586117,0.07598870056497171,0.061426122299370375
48,0.2711864406779661,0.4346327683615819,0.10826505081147074,0.07632768361581918,0.061221706405401394
49,0.2768361581920904,0.425649717514124,0.11031526929153544,0.07457627118644063,0.057386146552975636
50,0.2824858757062147,0.4164406779661015,0.1113597889217114,0.0740112994350282,0.05690374738131123
51,0.288135593220339,0.4093785310734461,0.11075920932590702,0.07310734463276833,0.055801341862397914
52,0.2937853107344633,0.40401129943502817,0.10934439056143648,0.07192090395480225,0.054828140225108755
53,0.2994350282485876,0.39480225988700546,0.10687136802401301,0.07096045197740111,0.053394940705308036
54,0.3050847457627119,0.3827683615819207,0.10726914149577403,0.07384180790960448,0.055182179774237894
55,0.3107344632768362,0.37598870056497175,0.10507663015508491,0.07316384180790957,0.05430534046994146
56,0.3163841807909605,0.3690395480225988,0.10539680561893908,0.0733333333333333,0.053543639321703064
57,0.3220338983050847,0.36050847457627105,0.10300441868218313,0.07395480225988696,0.05233849669051521
58,0.327683615819209,0.3540677966101694,0.10063379832021518,0.07293785310734459,0.0509399185976942
59,0.3333333333333333,0.3474576271186441,0.10121026887909619,0.07254237288135588,0.0503582520929816
60,0.3389830508474576,0.3390960451977401,0.09966452636625589,0.07367231638418077,0.05056399138632175
61,0.3446327683615819,0.3264406779661017,0.09381060969589433,0.0751412429378531,0.04925636836437529
62,0.3502824858757062,0.3203954802259888,0.09415612034631647,0.07502824858757061,0.04864102573964916
63,0.3559322033898305,0.3125988700564972,0.09181830853445908,0.07418079096045196,0.04795729569989682
64,0.3615819209039548,0.3072881355932203,0.09175100409813756,0.07271186440677964,0.04709573471911354
65,0.3672316384180791,0.2989830508474575,0.09325251624048764,0.07192090395480222,0.04570038796511428
66,0.3728813559322034,0.2902259887005648,0.09330427740405225,0.07310734463276831,0.04553758554582199
67,0.3785310734463277,0.28542372881355915,0.09117494788815954,0.07135593220338979,0.044584776667675644
68,0.384180790960452,0.27677966101694895,0.09250901527291286,0.07050847457627114,0.043060523939764464
69,0.3898305084745763,0.26937853107344617,0.08936913783159889,0.07101694915254234,0.042968891306914156
70,0.3954802259887006,0.25847457627118625,0.08574756461313744,0.07355932203389826,0.04347409616065009
71,0.4011299435028249,0.2518079096045197,0.08707912135047181,0.07209039548022594,0.043005380361199365
72,0.4067796610169492,0.247909604519774,0.08579983252241184,0.07050847457627117,0.04147388509605838
73,0.4124293785310734,0.24050847457627111,0.08257508393540415,0.07045197740112992,0.039547655732394806
74,0.4180790960451977,0.23570621468926548,0.08193941939699832,0.06903954802259886,0.03801904955875702
75,0.423728813559322,0.22666666666666668,0.08127647397128915,0.06875706214689264,0.03742480474768666
76,0.4293785310734463,0.2171751412429378,0.08040318562113481,0.0689265536723164,0.03820870737082917
77,0.4350282485875706,0.21271186440677958,0.07807187427398651,0.06774011299435029,0.03612228393061507
78,0.4406779661016949,0.2062146892655366,0.07544290395351082,0.06734463276836158,0.03455469802958061
79,0.4463276836158192,0.203276836158192,0.0747019739241493,0.06418079096045198,0.03184360462550318
80,0.4519774011299435,0.19898305084745754,0.07298429292636625,0.06282485875706215,0.03101014028301801
81,0.4576271186440678,0.19192090395480219,0.06968426810348187,0.06338983050847456,0.03138528784156708
82,0.4632768361581921,0.187457627118644,0.06928952248081226,0.062316384180790954,0.03063539789584414
83,0.4689265536723164,0.1833898305084745,0.06771295415117388,0.061186440677966115,0.030111007616779824
84,0.4745762711864407,0.17751412429378527,0.0649459665132939,0.06124293785310735,0.030299567343869915
85,0.480225988700565,0.17322033898305086,0.06425241134427427,0.060056497175141235,0.029314534399215345
86,0.4858757062146893,0.16824858757062142,0.06457955362798612,0.059265536723163856,0.02942256104710074
87,0.4915254237288136,0.1618079096045197,0.06492282832373644,0.05864406779661018,0.029172584438013207
88,0.4971751412429379,0.15830508474576266,0.06339748080133238,0.05728813559322035,0.028515771202771677
89,0.5028248587570622,0.15497175141242933,0.06381453071864375,0.056045197740113004,0.02773231359314079
90,0.5084745762711864,0.15090395480225985,0.06304209133179026,0.05435028248587571,0.026654563600604496
91,0.5141242937853108,0.14519774011299436,0.05999823850122032,0.05344632768361582,0.026577520826591622
92,0.519774011299435,0.14129943502824863,0.059023005584316314,0.05242937853107347,0.026305113769947198
93,0.5254237288135594,0.1376271186440678,0.058258899001754155,0.05084745762711866,0.02543165366921564
94,0.5310734463276836,0.1312994350282486,0.055912745055018934,0.05084745762711864,0.02478966081069099
95,0.536723163841808,0.1275706214689266,0.05336993608833852,0.049717514124293774,0.023996608360743885
96,0.5423728813559322,0.12282485875706212,0.05270390886569479,0.04875706214689263,0.02346201609466104
97,0.5480225988700564,0.11824858757062144,0.05094093128575966,0.04757062146892652,0.02189127925234912
98,0.5536723163841808,0.11576271186440679,0.04930213425206215,0.046610169491525404,0.02088420307813381
99,0.559322033898305,0.11203389830508476,0.047351082767070916,0.045819209039548,0.01983132220320189
100,0.5649717514124294,0.11056497175141246,0.046990188096650926,0.044915254237288114,0.0199848535504531
101,0.5706214689265536,0.10638418079096047,0.044333858806099594,0.04468926553672314,0.021383379602087717
102,0.576271186440678,0.10316384180790962,0.0452235559441016,0.04338983050847455,0.021425330506271087
103,0.5819209039548022,0.10073446327683618,0.044782482913959025,0.04282485875706212,0.021096252713408616
104,0.5875706214689266,0.09870056497175143,0.04462669997472999,0.0409604519774011,0.02063571142779795
105,0.5932203389830508,0.09553672316384183,0.043266798203912514,0.040790960451977366,0.020450593222369015
106,0.5988700564971752,0.0906779661016949,0.03987986587071132,0.04090395480225986,0.019899893620573508
107,0.6045197740112994,0.08757062146892654,0.03865752145389567,0.039943502824858736,0.019673971020121615
108,0.6101694915254238,0.0846327683615819,0.03772448615268183,0.03903954802259885,0.018816891412588695
109,0.615819209039548,0.0814689265536723,0.036914108128603434,0.03774011299435026,0.01720179227811267
110,0.6214689265536724,0.07898305084745762,0.034482777298649576,0.03717514124293783,0.01671315083414975
111,0.6271186440677966,0.07576271186440678,0.03381350080001969,0.03610169491525422,0.016078275057244063
112,0.632768361581921,0.07338983050847457,0.03288930917016304,0.03468926553672315,0.014807316716221054
