source,target,campus_u,campus_v,capa_u,capa_v,rol,label,capacidad_original_mbps,capacidad_modelo_mbps,fuente_capacidad,es_puente_P1
DT-0A-C13,BAL-CENTEC-D2,Campus Balzay,Campus Balzay,core,agregacion,secundario,C13: lag16 58.16 Mbps,,10000,estimada_10G_troncal,False
DT-0A-C12,CB-EADMI-D6,Campus Balzay,Campus Balzay,core,agregacion,principal,C12: lag17 7.18 Mbps,,10000,estimada_10G_troncal,False
DT-0A-C13,CB-EADMI-D6,Campus Balzay,Campus Balzay,core,agregacion,secundario,C13: lag17 76.66 Mbps,,10000,estimada_10G_troncal,False
BAL-AUL2-D1,MICRORED-1A-A109,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: int1/1/3 11.02 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-CENTEC-D2,CEA-0A-A108,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D2: lag70 4.99 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-CENTEC-D2,VLIR-0A-A107,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D2: int1/1/3 13.75 Mbps,,1000,estimada_1G_acceso_agregacion,True
CB-EADMI-D6,BAL-EADM-D3,Campus Balzay,Campus Balzay,agregacion,agregacion,principal,D3: int 1/1/6 19.63 Mbps,,10000,estimada_10G_agregacion,True
BAL-AUL1-D4,AUL1-2A-A110,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D4: 1/1/1 65.9 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL1-D4,AUL1-2A-A111,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D4: 1/1/2 77.62 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL1-D4,AUL1-3A-A112,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D4: 1/1/3 29.78 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL1-D4,AUL1-3A-A104,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D4: 1/1/4 84.67 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-0A-A106,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: lag30 68.5 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-0A-A122,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: lag31 1.22 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-0A-A121,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: lag32 81.71 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-0A-A119,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: lag33 1.33 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-0A-A118,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: lag34 2.69 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-0A-A120,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: lag35 5.03 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-0A-A123,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: lag36 1.35 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-01A-A124-SUBLAB2,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: 1/1/17 25.46 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-AUL2-D1,AUL2-01A-A24-SUB,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D1: 1/1/22 78.4 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-CENTEC-D2,CTBLOQ1-0A-A101,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D2: lag60 5.65 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-CENTEC-D2,CTBLOQ2-0A-A102,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D2: lag50 22.29 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-CENTEC-D2,CTBLOQ3-0A-A103,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D2: lag40 12.91 Mbps,,1000,estimada_1G_acceso_agregacion,True
CB-EADMI-D6,EA-1A-A115,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D3: lag100 50.53 Mbps,,1000,estimada_1G_acceso_agregacion,True
CB-EADMI-D6,EA-0A-A114,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D3: lag90 20.91 Mbps,,1000,estimada_1G_acceso_agregacion,True
CB-EADMI-D6,EA-1A-A116,Campus Balzay,Campus Balzay,agregacion,acceso,principal,D3: int1/1/5 1.86 Mbps,,1000,estimada_1G_acceso_agregacion,True
BAL-EADM-D3,QUIN-1A-A117,Campus Balzay,Campus Balzay,agregacion,acceso,principal,BAL-EADM-D3: int 1/1/6 54.06 Mbps,,1000,estimada_1G_acceso_agregacion,True
QUIN-1A-A117,QUIN-1A-A128,Campus Balzay,Campus Balzay,acceso,acceso,principal,,,1000,estimada_1G_acceso,True
AGRPRI-1A-D10,TALL-0A-A12,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: 1/1/3 10.56 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,DAN-1A-A11,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: 1/1/4 10.28 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,LABMAC-1A-A13,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag110 19.07 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,ART-0A-A15,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag120 40.41 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,BLOQUED-0A-A21,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag190 9.74 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,BIB-2A-A16,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag130 68.33 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,LAC-0A-A17,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag140 11.7 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,LAB-1A-A18,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag150 17.54 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,AGRPRI-1A-A19,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag160 30.48 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,ANF-0A-A14,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: 1/1/19 6.44 Mbps,,1000,estimada_1G_acceso_agregacion,True
AGRPRI-1A-D10,CEN-1A-A20,Campus Yanuncay,Campus Yanuncay,agregacion,acceso,principal,D10: lag180 5.32 Mbps,,1000,estimada_1G_acceso_agregacion,True
HOS-0A-D05,HOS-0A-A10,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso,principal,D5: lag60 26.42 Mbps,,1000,estimada_1G_acceso_agregacion,True
HOS-0A-D05,HOS-2A-A11,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso,principal,D5: lag61 91.33 Mbps,,1000,estimada_1G_acceso_agregacion,True
HOS-0A-D05,HOS-1A-A12,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso,principal,D5: lag62 50.77 Mbps,,1000,estimada_1G_acceso_agregacion,True
HOS-0A-D05,HOS-0A-A13,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso,principal,D5: 1/1/7 21.7 Mbps,,1000,estimada_1G_acceso_agregacion,True
CPAR-C10,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,Campus Paraiso,core,wan,principal,C10: 1/1/25 Link-to-VPLS-CEDIA 317.83 Mbps,,10000,estimada_10G_WAN_MPLS,True
CPAR-C10,CP-EADMINA1-D6,Campus Paraiso,Campus Paraiso,core,agregacion,principal,C10: lag211 Con Redundancia 76.7 Mbps,,10000,estimada_10G_troncal,True
CPAR-C10,CP-INVESTIGACION-D5,Campus Paraiso,Campus Paraiso,core,agregacion,principal,C10: lag205 84.7 Mbps,,10000,estimada_10G_troncal,True
CPAR-C10,CP-ENFERMERIA-D1,Campus Paraiso,Campus Paraiso,core,agregacion,principal,C10: lag201 147.9 Mbps,,10000,estimada_10G_troncal,True
CPAR-C10,CP-TECMEDICO-D3,Campus Paraiso,Campus Paraiso,core,agregacion,principal,C10: lag203 113.56 Mbps,,10000,estimada_10G_troncal,True
CPAR-C10,CP-POSGRADO-D2,Campus Paraiso,Campus Paraiso,core,agregacion,principal,C10: lag202 40.79 Mbps,,10000,estimada_10G_troncal,True
CPAR-C10,CP-ODONTOLOGIA-D4,Campus Paraiso,Campus Paraiso,core,agregacion,principal,C10: lag204 216.33 Mbps,,10000,estimada_10G_troncal,True
CP-EADMINA1-D6,MEDADM-1A-A11,Campus Paraiso,Campus Paraiso,agregacion,acceso,principal,D6: lag11 26.87 Mbps,,1000,estimada_1G_acceso_agregacion,True
CP-EADMINA1-D6,MEDADM-1B-A12,Campus Paraiso,Campus Paraiso,agregacion,acceso,principal,D6: lag12 1.77 Mbps,,1000,estimada_1G_acceso_agregacion,True
