source,target,campus_u,campus_v,capa_u,capa_v,rol,label,capacidad_original_mbps,capacidad_modelo_mbps,fuente_capacidad,es_puente_P1
INTERNET-MPLS,ROUTER-CAMPUS-YANUNCAY,Nube MPLS,Campus Yanuncay,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
ROUTER-CAMPUS-HUAYNA-CAPAC,ROUTER-CAMPUS-PARAISO,Campus Paraiso,Campus Paraiso,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
INTERNET-MPLS,PE1-BALZAY,Nube MPLS,Campus Balzay,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
INTERNET-MPLS,PE2-BALZAY,Nube MPLS,Campus Balzay,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
INTERNET-MPLS,PE1-CENTRAL,Nube MPLS,Campus Central,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
INTERNET-MPLS,PE2-CENTRAL,Nube MPLS,Campus Central,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
ROUTER-CAMPUS-YANUNCAY,PE1-CENTRAL,Campus Yanuncay,Campus Central,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
ROUTER-CAMPUS-PARAISO,PE2-CENTRAL,Campus Paraiso,Campus Central,wan,wan,wan,Trafico MPLS 10 Gbps,10000.0,10000,explicita,False
PE1-BALZAY,PE2-CENTRAL,Campus Balzay,Campus Central,wan,wan,wan,Fibra oscura MPLS 10 Gbps,10000.0,10000,explicita,False
PE2-BALZAY,PE1-CENTRAL,Campus Balzay,Campus Central,wan,wan,wan,Fibra oscura MPLS 10 Gbps,10000.0,10000,explicita,False
PE1-BALZAY,PE2-BALZAY,Campus Balzay,Campus Balzay,wan,wan,wan,,,10000,estimada_10G_WAN_MPLS,False
PE1-CENTRAL,PE2-CENTRAL,Campus Central,Campus Central,wan,wan,wan,,,10000,estimada_10G_WAN_MPLS,False
PE1-BALZAY,FORTIGATE-1800F-BALZAY,Campus Balzay,Campus Balzay,wan,interconexion,wan,Trafico hacia internet L3 10 Gbps,10000.0,10000,explicita,False
