removed,f,S,S2
0,0.0,1.0,0.0
1,0.004784688995215311,0.7627118644067796,0.23728813559322035
2,0.009569377990430622,0.6949152542372882,0.23728813559322035
3,0.014354066985645933,0.6949152542372882,0.1864406779661017
4,0.019138755980861243,0.6949152542372882,0.13559322033898305
5,0.023923444976076555,0.6949152542372882,0.096045197740113
6,0.028708133971291867,0.6949152542372882,0.06779661016949153
7,0.03349282296650718,0.6949152542372882,0.06779661016949153
8,0.03827751196172249,0.6666666666666666,0.06779661016949153
9,0.0430622009569378,0.6666666666666666,0.06779661016949153
10,0.04784688995215311,0.6497175141242938,0.06779661016949153
11,0.05263157894736842,0.632768361581921,0.06779661016949153
12,0.05741626794258373,0.615819209039548,0.06779661016949153
13,0.06220095693779904,0.5988700564971752,0.06779661016949153
14,0.06698564593301436,0.5988700564971752,0.06779661016949153
15,0.07177033492822966,0.5875706214689266,0.06779661016949153
16,0.07655502392344497,0.576271186440678,0.06779661016949153
17,0.08133971291866028,0.5649717514124294,0.06779661016949153
18,0.0861244019138756,0.5536723163841808,0.06779661016949153
19,0.09090909090909091,0.5536723163841808,0.06779661016949153
20,0.09569377990430622,0.5423728813559322,0.06779661016949153
21,0.10047846889952153,0.5310734463276836,0.06779661016949153
22,0.10526315789473684,0.519774011299435,0.06779661016949153
23,0.11004784688995216,0.519774011299435,0.06779661016949153
24,0.11483253588516747,0.519774011299435,0.06779661016949153
25,0.11961722488038277,0.519774011299435,0.06779661016949153
26,0.12440191387559808,0.519774011299435,0.06779661016949153
27,0.1291866028708134,0.519774011299435,0.06779661016949153
28,0.1339712918660287,0.519774011299435,0.06779661016949153
29,0.13875598086124402,0.519774011299435,0.06779661016949153
30,0.14354066985645933,0.5141242937853108,0.06779661016949153
31,0.14832535885167464,0.5141242937853108,0.062146892655367235
32,0.15311004784688995,0.5141242937853108,0.05649717514124294
33,0.15789473684210525,0.5141242937853108,0.05084745762711865
34,0.16267942583732056,0.5141242937853108,0.05084745762711865
35,0.1674641148325359,0.5141242937853108,0.05084745762711865
36,0.1722488038277512,0.5141242937853108,0.05084745762711865
37,0.17703349282296652,0.5141242937853108,0.05084745762711865
38,0.18181818181818182,0.5141242937853108,0.05084745762711865
39,0.18660287081339713,0.5141242937853108,0.05084745762711865
40,0.19138755980861244,0.5141242937853108,0.05084745762711865
41,0.19617224880382775,0.5141242937853108,0.05084745762711865
42,0.20095693779904306,0.5141242937853108,0.05084745762711865
43,0.20574162679425836,0.5084745762711864,0.05084745762711865
44,0.21052631578947367,0.5084745762711864,0.05084745762711865
45,0.215311004784689,0.5028248587570622,0.05084745762711865
46,0.22009569377990432,0.4971751412429379,0.05084745762711865
47,0.22488038277511962,0.4915254237288136,0.05084745762711865
48,0.22966507177033493,0.4858757062146893,0.05084745762711865
49,0.23444976076555024,0.4858757062146893,0.05084745762711865
50,0.23923444976076555,0.480225988700565,0.05084745762711865
51,0.24401913875598086,0.4745762711864407,0.05084745762711865
52,0.24880382775119617,0.4689265536723164,0.05084745762711865
53,0.2535885167464115,0.4632768361581921,0.05084745762711865
54,0.2583732057416268,0.4576271186440678,0.05084745762711865
55,0.2631578947368421,0.4519774011299435,0.05084745762711865
56,0.2679425837320574,0.4463276836158192,0.05084745762711865
57,0.2727272727272727,0.4406779661016949,0.05084745762711865
58,0.27751196172248804,0.4350282485875706,0.05084745762711865
59,0.2822966507177033,0.4293785310734463,0.05084745762711865
60,0.28708133971291866,0.423728813559322,0.05084745762711865
61,0.291866028708134,0.4180790960451977,0.05084745762711865
62,0.2966507177033493,0.4124293785310734,0.05084745762711865
63,0.3014354066985646,0.4067796610169492,0.05084745762711865
64,0.3062200956937799,0.4011299435028249,0.05084745762711865
65,0.31100478468899523,0.3954802259887006,0.05084745762711865
66,0.3157894736842105,0.3898305084745763,0.05084745762711865
67,0.32057416267942584,0.384180790960452,0.05084745762711865
68,0.3253588516746411,0.3785310734463277,0.05084745762711865
69,0.33014354066985646,0.3728813559322034,0.05084745762711865
70,0.3349282296650718,0.3672316384180791,0.05084745762711865
71,0.3397129186602871,0.3615819209039548,0.05084745762711865
72,0.3444976076555024,0.3559322033898305,0.05084745762711865
73,0.3492822966507177,0.3502824858757062,0.05084745762711865
74,0.35406698564593303,0.3446327683615819,0.05084745762711865
75,0.3588516746411483,0.3389830508474576,0.05084745762711865
76,0.36363636363636365,0.3333333333333333,0.05084745762711865
77,0.3684210526315789,0.327683615819209,0.05084745762711865
78,0.37320574162679426,0.3220338983050847,0.05084745762711865
79,0.37799043062200954,0.3163841807909605,0.05084745762711865
80,0.3827751196172249,0.3107344632768362,0.05084745762711865
81,0.3875598086124402,0.3050847457627119,0.05084745762711865
82,0.3923444976076555,0.2994350282485876,0.05084745762711865
83,0.39712918660287083,0.2937853107344633,0.05084745762711865
84,0.4019138755980861,0.288135593220339,0.05084745762711865
85,0.40669856459330145,0.2824858757062147,0.05084745762711865
86,0.41148325358851673,0.2768361581920904,0.05084745762711865
87,0.41626794258373206,0.2711864406779661,0.05084745762711865
88,0.42105263157894735,0.2655367231638418,0.05084745762711865
89,0.4258373205741627,0.2598870056497175,0.05084745762711865
90,0.430622009569378,0.2542372881355932,0.05084745762711865
91,0.4354066985645933,0.24858757062146894,0.05084745762711865
92,0.44019138755980863,0.24293785310734464,0.05084745762711865
93,0.4449760765550239,0.23728813559322035,0.05084745762711865
94,0.44976076555023925,0.23163841807909605,0.05084745762711865
95,0.45454545454545453,0.22598870056497175,0.05084745762711865
96,0.45933014354066987,0.22033898305084745,0.05084745762711865
97,0.46411483253588515,0.21468926553672316,0.05084745762711865
98,0.4688995215311005,0.20903954802259886,0.05084745762711865
99,0.47368421052631576,0.2033898305084746,0.05084745762711865
100,0.4784688995215311,0.2033898305084746,0.05084745762711865
101,0.48325358851674644,0.2033898305084746,0.05084745762711865
102,0.4880382775119617,0.2033898305084746,0.05084745762711865
103,0.49282296650717705,0.2033898305084746,0.04519774011299435
104,0.49760765550239233,0.2033898305084746,0.03954802259887006
105,0.5023923444976076,0.2033898305084746,0.03389830508474576
106,0.507177033492823,0.2033898305084746,0.02824858757062147
107,0.5119617224880383,0.2033898305084746,0.02824858757062147
108,0.5167464114832536,0.2033898305084746,0.02824858757062147
109,0.5215311004784688,0.2033898305084746,0.02824858757062147
110,0.5263157894736842,0.2033898305084746,0.02824858757062147
111,0.5311004784688995,0.2033898305084746,0.02824858757062147
112,0.5358851674641149,0.2033898305084746,0.02824858757062147
113,0.5406698564593302,0.2033898305084746,0.02824858757062147
114,0.5454545454545454,0.2033898305084746,0.02824858757062147
115,0.5502392344497608,0.2033898305084746,0.02824858757062147
116,0.5550239234449761,0.2033898305084746,0.02824858757062147
117,0.5598086124401914,0.2033898305084746,0.02824858757062147
118,0.5645933014354066,0.2033898305084746,0.02824858757062147
119,0.569377990430622,0.2033898305084746,0.02824858757062147
120,0.5741626794258373,0.2033898305084746,0.02824858757062147
121,0.5789473684210527,0.2033898305084746,0.02824858757062147
122,0.583732057416268,0.2033898305084746,0.02824858757062147
123,0.5885167464114832,0.2033898305084746,0.02824858757062147
124,0.5933014354066986,0.2033898305084746,0.02824858757062147
125,0.5980861244019139,0.2033898305084746,0.022598870056497175
126,0.6028708133971292,0.2033898305084746,0.01694915254237288
127,0.6076555023923444,0.2033898305084746,0.01694915254237288
128,0.6124401913875598,0.2033898305084746,0.01694915254237288
129,0.6172248803827751,0.2033898305084746,0.01694915254237288
130,0.6220095693779905,0.2033898305084746,0.01694915254237288
131,0.6267942583732058,0.2033898305084746,0.01694915254237288
132,0.631578947368421,0.2033898305084746,0.01694915254237288
133,0.6363636363636364,0.2033898305084746,0.01694915254237288
134,0.6411483253588517,0.2033898305084746,0.01694915254237288
135,0.645933014354067,0.2033898305084746,0.01694915254237288
136,0.6507177033492823,0.2033898305084746,0.01694915254237288
