seed,n_comunidades,modularidad_Q,NMI_vs_campus,ARI_vs_campus
11,14,0.7586937112245599,0.6203423310700942,0.3385386595596843
22,13,0.7568851445708661,0.6339402251171405,0.37839563042906027
33,14,0.7631807879856228,0.6182441208807994,0.3264789515198639
44,16,0.7346786932533594,0.644861488241758,0.31114057653773153
55,15,0.7591630228245689,0.6412567509329695,0.34774042346823336
