estrategia,removed,f,E_mean,E_std,E_relativa_E0
aleatorio_media_100,0,0.0,0.2082120224550887,0.0,1.0
aleatorio_media_100,10,0.04784688995215311,0.18183466179464827,0.014198437057546216,0.8733149010829573
aleatorio_media_100,21,0.10047846889952153,0.15958107308323982,0.014887949068448975,0.766435440190114
aleatorio_media_100,31,0.14832535885167464,0.1373184529296817,0.015940636348300886,0.6595126031173405
aleatorio_media_100,42,0.20095693779904306,0.11785985772505894,0.014332753658749892,0.5660569276228096
aleatorio_media_100,52,0.24880382775119617,0.09910801312944031,0.012774997630550707,0.47599563157222535
aleatorio_media_100,63,0.3014354066985646,0.08142882525687799,0.011534080274946274,0.39108608761745334
aleatorio_media_100,73,0.3492822966507177,0.06758903385086196,0.011515914163443258,0.32461638407763366
aleatorio_media_100,84,0.4019138755980861,0.05362780554581002,0.010417029839848482,0.2575634438082341
aleatorio_media_100,94,0.44976076555023925,0.04297957319950586,0.008607166640256389,0.20642214936832742
aleatorio_media_100,104,0.49760765550239233,0.03337348931368039,0.006992323367465727,0.1602860820435047
aleatorio_media_100,115,0.5502392344497608,0.024723200961211358,0.004925556568790833,0.11874050628629837
aleatorio_media_100,125,0.5980861244019139,0.018388743395436377,0.00372756220844661,0.08831739482960368
aleatorio_media_100,136,0.6507177033492823,0.013488318353591851,0.002636912595568988,0.0647816499477175
aleatorio_media_100,146,0.6985645933014354,0.00973033831787684,0.001842840010989671,0.04673283609247718
aleatorio_media_100,157,0.7511961722488039,0.006698058873087764,0.0010518587734580725,0.03216941459051691
aleatorio_media_100,167,0.7990430622009569,0.004678466395001449,0.0007081101855798775,0.022469722640586682
aleatorio_media_100,178,0.8516746411483254,0.002919430381294788,0.00043490346231567955,0.01402143039998811
aleatorio_media_100,188,0.8995215311004785,0.00171045197740113,0.00017419002308152862,0.00821495299470555
aleatorio_media_100,199,0.9521531100478469,0.000715363379558295,6.697109120262541e-05,0.0034357448293486446
intermediacion_arista_desc,0,0.0,0.2082120224550887,0.0,1.0
intermediacion_arista_desc,10,0.04784688995215311,0.1309910291372155,0.0,0.629123273443397
intermediacion_arista_desc,21,0.10047846889952153,0.0971568489576965,0.0,0.4666245868614681
intermediacion_arista_desc,31,0.14832535885167464,0.09419242872632703,0.0,0.45238707936110806
intermediacion_arista_desc,42,0.20095693779904306,0.05894798468951005,0.0,0.28311518227639865
intermediacion_arista_desc,52,0.24880382775119617,0.04150990840609484,0.0,0.19936364824969952
intermediacion_arista_desc,63,0.3014354066985646,0.03590666042996552,0.0,0.17245238774677663
intermediacion_arista_desc,73,0.3492822966507177,0.020377045271113066,0.0,0.09786680437969614
intermediacion_arista_desc,84,0.4019138755980861,0.01565442561205273,0.0,0.07518502259123576
intermediacion_arista_desc,94,0.44976076555023925,0.014209895565827768,0.0,0.06824723855171638
intermediacion_arista_desc,104,0.49760765550239233,0.012893768190378359,0.0,0.06192614642682097
intermediacion_arista_desc,115,0.5502392344497608,0.010807224790275637,0.0,0.05190490281418189
