metrica,red_real,ER_media,ER_sd,ER_z,CFG_media,CFG_sd,CFG_z
clustering,0.03432903550052105,0.0087480046632589,0.006987910752135718,3.660755230659437,0.016906062716132507,0.006826153946995296,2.552384976910417
distancia_media_CG,5.830380071905496,5.5770674365145,0.21215129610049227,1.194018797184281,4.137707340544178,0.121302634843513,13.9541299621806
diametro_CG,11.0,13.17,1.3337499349161706,-1.6269916445292196,9.09,0.9754046039537344,1.9581617641109634
asortatividad,-0.1468205846291963,-0.004794879055107258,0.06643109100557072,-2.137940284048311,-0.07102633935650128,0.06317926933449722,-1.199669544631941
