seed,K,iteraciones,WCSS,modularidad_Q,NMI_vs_Louvain,ARI_vs_Louvain,NMI_vs_campus,ARI_vs_campus
11,14,3,18.144527920008947,0.740470685194936,0.8748411637077843,0.6793200252329715,0.6326768949707644,0.39361931676537193
22,14,3,23.28945300153384,0.7409285501705547,0.8843355481280554,0.7153323969175114,0.6423781430520327,0.371577117026122
33,14,3,30.701424593347998,0.7119456972138916,0.8466838668047925,0.6049057133344157,0.6083032800096567,0.3133841244988068
44,14,3,20.58871109512076,0.7462855703852933,0.8860723805999693,0.7405197350153567,0.5898996410186658,0.31170203888343456
55,14,4,25.754350630503847,0.7202101600238091,0.8556356537806491,0.675816443047335,0.5697251448097036,0.30130960827804265
