metrica,antes,despues,variacion_absoluta,variacion_porcentual
Número de puentes,141.0,136.0,-5.0,-3.5460992907801416
Puntos de articulación,47.0,45.0,-2.0,-4.25531914893617
Distancia media [saltos],5.830380071905496,5.4949922958397535,-0.3353877760657422,-5.75241702821151
Eficiencia global,0.20821202245507564,0.21791006032145385,0.009698037866378212,4.657770359283977
"AUC S(f), ataque adaptativo",0.03388234543075106,0.03729771138561716,0.0034153659548660995,10.080075365049462
"f50, ataque adaptativo",0.022598870056497175,0.022598870056497175,0.0,0.0
S(f) con 5% de nodos eliminados,0.05084745762711865,0.11299435028248588,0.06214689265536723,122.22222222222221
