f,S_random,S_grado,S_betweenness,S_betweenness_adaptativa
0.05,0.872033898305085,0.3728813559322034,0.1977401129943503,0.05084745762711865
0.1,0.7568361581920903,0.05084745762711865,0.04519774011299435,0.03389830508474576
0.2,0.5577966101694916,0.02824858757062147,0.02824858757062147,0.01694915254237288
0.3,0.39480225988700546,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.5,0.15830508474576266,0.005649717514124294,0.005649717514124294,0.011299435028248588
